queryID precision recall F-score
701 0.35 0.23 0.2775862068965517
702 0.25 0.11 0.1527777777777778
704 0.21 0.08 0.11586206896551725
705 0.09 0.04 0.05538461538461538
706 0.23 0.05 0.08214285714285714
707 0.11 0.12 0.11478260869565218
708 0.18 0.12 0.144
709 0.15 0.56 0.23661971830985915
711 0.33 0.11 0.165
712 0.45 0.07 0.12115384615384618
713 0.67 0.03 0.05742857142857142
714 0.22 0.04 0.06769230769230769
715 0.11 0.06 0.07764705882352942
716 0.66 0.06 0.11000000000000001
722 0.11 0.02 0.033846153846153845
723 0.66 0.04 0.07542857142857143
724 0.22 0.03 0.0528
725 0.11 0.02 0.033846153846153845
727 0.34 0.01 0.019428571428571427
729 0.78 0.05 0.09397590361445785
730 0.18 0.03 0.05142857142857143
733 0.54 0.06 0.10799999999999998
735 0.78 0.07 0.12847058823529411
737 0.56 0.08 0.14
738 0.43 0.09 0.14884615384615382
739 0.33 0.01 0.019411764705882354
740 0.17 0.03 0.051000000000000004
741 0.55 0.05 0.09166666666666666
743 0.31 0.07 0.11421052631578947
745 0.45 0.08 0.13584905660377358
746 0.29 0.01 0.019333333333333334
747 0.54 0.05 0.09152542372881356
749 0.31 0.06 0.10054054054054053
750 0.11 0.04 0.05866666666666667
751 0.11 0.07 0.08555555555555557
752 0.43 0.08 0.1349019607843137
753 0.02 0.09 0.03272727272727272
755 0.23 0.11 0.1488235294117647
757 0.01 0.51 0.019615384615384614
760 0.56 0.06 0.10838709677419354
761 0.23 0.35 0.2775862068965517
763 0.24 0.46 0.31542857142857145
770 0.11 0.06 0.07764705882352942
771 0.12 0.06 0.08
772 0.14 0.23 0.17405405405405408
776 0.09 0.36 0.14400000000000002
782 0.25 0.34 0.288135593220339
792 0.13 0.29 0.17952380952380953
794 0.11 0.06 0.07764705882352942
795 0.24 0.04 0.06857142857142857
798 0.16 0.14 0.14933333333333335
801 0.15 0.06 0.08571428571428572
802 0.1 0.23 0.1393939393939394
804 0.09 0.09 0.09
806 0.22 0.18 0.19799999999999998
808 0.14 0.14 0.14
810 0.19 0.34 0.2437735849056604
811 0.22 0.09 0.12774193548387094
812 0.26 0.07 0.1103030303030303
816 0.07 0.34 0.11609756097560978
817 0.15 0.56 0.23661971830985915
818 0.11 0.06 0.07764705882352942
820 0.15 0.06 0.08571428571428572
821 0.15 0.24 0.1846153846153846
822 0.15 0.46 0.22622950819672133
824 0.14 0.56 0.224
825 0.68 0.75 0.7132867132867132
826 0.76 0.24 0.3648
829 0.13 0.26 0.17333333333333334
830 0.21 0.58 0.30835443037974686
831 0.29 0.37 0.3251515151515152
834 0.25 0.38 0.30158730158730157
835 0.55 0.29 0.37976190476190474
836 0.89 0.47 0.6151470588235295
837 0.24 0.60 0.34285714285714286
838 0.15 0.06 0.08571428571428572
841 0.15 0.06 0.08571428571428572
843 0.15 0.05 0.075
846 0.15 0.06 0.08571428571428572
847 0.11 0.06 0.07764705882352942
849 0.15 0.12 0.1333333333333333
850 0.11 0.08 0.09263157894736843
